tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
CS7-1a_LP-DIR-T-70	CS7-1a_LP-DIR-T	CS7-1a	2.8	339.0	59.7	0	0	0.0	0.0	12	852.0	This study	OPRM 19-Jul 2021 11:18	LT-T-Z:DE-VM:LP-DIR-T	g	70	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	4.403000000000001e-09	2e-13	9.000000000000001e-14	3.4e-13	CS7-1	CS7	OPRM
CS7-1a_LP-DIR-T-71	CS7-1a_LP-DIR-T	CS7-1a	2.4	189.1	34.3	0	0	0.0	0.0	13	855.0	This study	OPRM 19-Jul 2021 17:29	LT-T-Z:DE-VM:LP-DIR-T	g	71	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.532e-09	2.1e-13	4e-14	1.4e-13	CS7-1	CS7	OPRM
CS7-1a_LP-DIR-T-72	CS7-1a_LP-DIR-T	CS7-1a	2.3	222.6	35.2	0	0	0.0	0.0	14	858.0	This study	OPRM 21-Jul 2021 07:07	LT-T-Z:DE-VM:LP-DIR-T	g	72	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.305e-09	1.9e-13	1.9e-13	1.8000000000000002e-13	CS7-1	CS7	OPRM
CS8-1a_LP-DIR-T-73	CS8-1a_LP-DIR-T	CS8-1a	1.7	20.5	50.1	0	0	0.0	0.0	0	723.0	This study	OPRM 8-Jun 2021 09:39	LT-T-Z:DE-VM:LP-DIR-T	g	73	u	4.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.514e-08	2.1e-12	8.600000000000002e-13	2.82e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-74	CS8-1a_LP-DIR-T	CS8-1a	0.9	18.3	48.5	0	0	0.0	0.0	1	748.0	This study	OPRM 8-Jun 2021 16:08	LT-T-Z:DE-VM:LP-DIR-T	g	74	u	2.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.24e-08	2.07e-12	7.099999999999999e-13	2.4300000000000003e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-75	CS8-1a_LP-DIR-T	CS8-1a	3.9	11.8	47.9	0	0	0.0	0.0	2	773.0	This study	OPRM 9-Jun 2021 11:41	LT-T-Z:DE-VM:LP-DIR-T	g	75	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.005e-08	2.02e-12	3.2e-13	2.25e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-76	CS8-1a_LP-DIR-T	CS8-1a	2.4	7.8	47.5	0	0	0.0	0.0	3	788.0	This study	OPRM 10-Jun 2021 10:25	LT-T-Z:DE-VM:LP-DIR-T	g	76	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.802e-08	1.86e-12	3.6000000000000003e-13	2.07e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-77	CS8-1a_LP-DIR-T	CS8-1a	4.2	10.6	45.5	0	0	0.0	0.0	4	803.0	This study	OPRM 14-Jun 2021 09:41	LT-T-Z:DE-VM:LP-DIR-T	g	77	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.752e-08	1.64e-12	2.7e-13	1.85e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-78	CS8-1a_LP-DIR-T	CS8-1a	2.4	7.4	49.5	0	0	0.0	0.0	5	813.0	This study	OPRM 15-Jun 2021 10:34	LT-T-Z:DE-VM:LP-DIR-T	g	78	u	4.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.874e-08	1.29e-12	2.3e-13	1.43e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-79	CS8-1a_LP-DIR-T	CS8-1a	2.1	10.3	45.3	0	0	0.0	0.0	6	823.0	This study	OPRM 16-Jun 2021 12:09	LT-T-Z:DE-VM:LP-DIR-T	g	79	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.436e-08	1.03e-12	1.9e-13	1.01e-12	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-80	CS8-1a_LP-DIR-T	CS8-1a	10.9	8.1	53.9	0	0	0.0	0.0	7	833.0	This study	OPRM 17-Jun 2021 10:11	LT-T-Z:DE-VM:LP-DIR-T	g	80	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	5.436999999999999e-09	3.9e-13	5e-14	4.500000000000001e-13	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-81	CS8-1a_LP-DIR-T	CS8-1a	3.0	3.3	49.1	0	0	0.0	0.0	8	838.0	This study	OPRM 18-Jun 2021 09:39	LT-T-Z:DE-VM:LP-DIR-T	g	81	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.424e-09	1.5e-13	2e-14	1.8000000000000002e-13	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-82	CS8-1a_LP-DIR-T	CS8-1a	1.3	21.5	41.4	0	0	0.0	0.0	9	841.0	This study	OPRM 21-Jun 2021 10:45	LT-T-Z:DE-VM:LP-DIR-T	g	82	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.5459999999999998e-09	1.1e-13	5e-14	1e-13	CS8-1	CS8	OPRM
CS8-1a_LP-DIR-T-83	CS8-1a_LP-DIR-T	CS8-1a	32.1	96.2	73.0	0	0	0.0	0.0	10	847.0	This study	OPRM 8-Jul 2021 11:53	LT-T-Z:DE-VM:LP-DIR-T	g	83	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	1.804e-10	0.0	1e-14	2e-14	CS8-1	CS8	OPRM
CS9-1a_LP-DIR-T-84	CS9-1a_LP-DIR-T	CS9-1a	1.1	99.0	-19.2	0	0	0.0	0.0	0	723.0	This study	OPRM 8-Jun 2021 09:45	LT-T-Z:DE-VM:LP-DIR-T	g	84	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	9.565e-09	1.2e-13	8.7e-13	3.1e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-85	CS9-1a_LP-DIR-T	CS9-1a	4.8	91.3	-18.1	0	0	0.0	0.0	1	748.0	This study	OPRM 8-Jun 2021 16:11	LT-T-Z:DE-VM:LP-DIR-T	g	85	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	8.364e-09	2e-14	8e-13	2.9e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-86	CS9-1a_LP-DIR-T	CS9-1a	6.9	96.8	-17.5	0	0	0.0	0.0	2	773.0	This study	OPRM 9-Jun 2021 11:34	LT-T-Z:DE-VM:LP-DIR-T	g	86	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	7.783e-09	8e-14	7.6e-13	2.9e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-87	CS9-1a_LP-DIR-T	CS9-1a	8.0	78.9	-14.3	0	0	0.0	0.0	3	788.0	This study	OPRM 10-Jun 2021 10:31	LT-T-Z:DE-VM:LP-DIR-T	g	87	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	6.606e-09	1e-13	6.2e-13	2.3e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-88	CS9-1a_LP-DIR-T	CS9-1a	5.0	93.5	-15.2	0	0	0.0	0.0	4	803.0	This study	OPRM 14-Jun 2021 09:57	LT-T-Z:DE-VM:LP-DIR-T	g	88	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	7.568e-09	1e-14	7.3e-13	1.7e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-89	CS9-1a_LP-DIR-T	CS9-1a	25.7	68.8	1.6	0	0	0.0	0.0	5	813.0	This study	OPRM 15-Jun 2021 10:46	LT-T-Z:DE-VM:LP-DIR-T	g	89	u	4.0	273		average of multiple measurements	pmagpy-4.2.24-1	5.566e-09	1.9e-13	4.7e-13	2.3e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-90	CS9-1a_LP-DIR-T	CS9-1a	26.1	105.3	11.8	0	0	0.0	0.0	6	823.0	This study	OPRM 16-Jun 2021 12:15	LT-T-Z:DE-VM:LP-DIR-T	g	90	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.21e-09	2e-14	2.8e-13	6e-14	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-91	CS9-1a_LP-DIR-T	CS9-1a	41.4	18.0	-59.3	0	0	0.0	0.0	7	833.0	This study	OPRM 17-Jun 2021 10:20	LT-T-Z:DE-VM:LP-DIR-T	g	91	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	2.942e-09	1.5e-13	1e-14	4.2e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-92	CS9-1a_LP-DIR-T	CS9-1a	13.5	338.2	-38.9	0	0	0.0	0.0	8	838.0	This study	OPRM 18-Jun 2021 09:43	LT-T-Z:DE-VM:LP-DIR-T	g	92	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	4.065e-09	2.7e-13	1.6e-13	2.9e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-93	CS9-1a_LP-DIR-T	CS9-1a	14.8	283.8	-14.4	0	0	0.0	0.0	9	841.0	This study	OPRM 21-Jun 2021 10:50	LT-T-Z:DE-VM:LP-DIR-T	g	93	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	3.867e-09	6e-14	4e-13	2.1e-13	CS9-1	CS9	OPRM
CS9-1a_LP-DIR-T-94	CS9-1a_LP-DIR-T	CS9-1a	29.8	189.0	23.4	0	0	0.0	0.0	10	847.0	This study	OPRM 8-Jul 2021 15:09	LT-T-Z:DE-VM:LP-DIR-T	g	94	u	3.0	273		average of multiple measurements	pmagpy-4.2.24-1	7.361e-09	5.8e-13	2.3e-13	6.1e-13	CS9-1	CS9	OPRM
